year,flat_type,town,remain_leaseyears,rounded_lease,resale_price
2022,2 ROOM,BUKIT BATOK,95.0,95.0,338000.0
2022,2 ROOM,BUKIT PANJANG,90.0,90.0,316000.0
2022,2 ROOM,BUKIT PANJANG,91.0,90.0,290000.0
2022,2 ROOM,BUKIT PANJANG,92.0,90.0,290000.0
2022,2 ROOM,BUKIT PANJANG,93.0,95.0,300000.0
2022,2 ROOM,CHOA CHU KANG,88.0,90.0,305000.0
2022,2 ROOM,CHOA CHU KANG,89.0,90.0,268000.0
2022,2 ROOM,CHOA CHU KANG,91.0,90.0,292500.0
2022,2 ROOM,CHOA CHU KANG,92.0,90.0,282500.0
2022,2 ROOM,CHOA CHU KANG,93.0,95.0,302000.0
2022,2 ROOM,CHOA CHU KANG,94.0,95.0,287500.0
2022,2 ROOM,HOUGANG,89.0,90.0,300000.0
2022,2 ROOM,JURONG EAST,90.0,90.0,292500.0
2022,2 ROOM,JURONG EAST,91.0,90.0,284000.0
2022,2 ROOM,JURONG WEST,55.0,55.0,235000.0
2022,2 ROOM,JURONG WEST,85.0,85.0,300000.0
2022,2 ROOM,JURONG WEST,90.0,90.0,296000.0
2022,2 ROOM,JURONG WEST,91.0,90.0,300000.0
2022,2 ROOM,JURONG WEST,94.0,95.0,313000.0
2022,2 ROOM,JURONG WEST,95.0,95.0,312500.0
2022,2 ROOM,PUNGGOL,89.0,90.0,330000.0
2022,2 ROOM,PUNGGOL,90.0,90.0,326000.0
2022,2 ROOM,PUNGGOL,91.0,90.0,310000.0
2022,2 ROOM,PUNGGOL,92.0,90.0,300000.0
2022,2 ROOM,PUNGGOL,93.0,95.0,308888.0
2022,2 ROOM,PUNGGOL,94.0,95.0,312500.0
2022,2 ROOM,PUNGGOL,95.0,95.0,339000.0
2022,2 ROOM,PUNGGOL,96.0,95.0,324000.0
2022,2 ROOM,SEMBAWANG,88.0,90.0,260000.0
2022,2 ROOM,SEMBAWANG,92.0,90.0,297500.0
2022,2 ROOM,SEMBAWANG,95.0,95.0,330000.0
2022,2 ROOM,SENGKANG,84.0,85.0,300000.0
2022,2 ROOM,SENGKANG,85.0,85.0,300000.0
2022,2 ROOM,SENGKANG,88.0,90.0,345000.0
2022,2 ROOM,SENGKANG,89.0,90.0,320000.0
2022,2 ROOM,SENGKANG,90.0,90.0,295000.0
2022,2 ROOM,SENGKANG,91.0,90.0,313800.0
2022,2 ROOM,SENGKANG,92.0,90.0,315000.0
2022,2 ROOM,SENGKANG,93.0,95.0,308000.0
2022,2 ROOM,SENGKANG,94.0,95.0,306000.0
2022,2 ROOM,SENGKANG,95.0,95.0,320444.0
2022,2 ROOM,WOODLANDS,61.0,60.0,257500.0
2022,2 ROOM,WOODLANDS,92.0,90.0,306444.0
2022,2 ROOM,WOODLANDS,94.0,95.0,340000.0
2022,2 ROOM,WOODLANDS,95.0,95.0,310000.0
2022,2 ROOM,YISHUN,77.0,75.0,250000.0
2022,2 ROOM,YISHUN,78.0,80.0,270000.0
2022,2 ROOM,YISHUN,89.0,90.0,285000.0
2022,2 ROOM,YISHUN,90.0,90.0,282500.0
2022,2 ROOM,YISHUN,91.0,90.0,270000.0
2022,2 ROOM,YISHUN,92.0,90.0,300000.0
2022,2 ROOM,YISHUN,93.0,95.0,290000.0
2022,2 ROOM,YISHUN,94.0,95.0,310000.0
2022,2 ROOM,YISHUN,95.0,95.0,315000.0
2022,3 ROOM,BUKIT BATOK,60.0,60.0,365000.0
2022,3 ROOM,BUKIT BATOK,61.0,60.0,355000.0
2022,3 ROOM,BUKIT BATOK,62.0,60.0,350000.0
2022,3 ROOM,BUKIT BATOK,63.0,65.0,342750.0
2022,3 ROOM,BUKIT BATOK,64.0,65.0,344000.0
2022,3 ROOM,BUKIT BATOK,65.0,65.0,340000.0
2022,3 ROOM,BUKIT BATOK,74.0,75.0,335000.0
2022,3 ROOM,BUKIT BATOK,75.0,75.0,330000.0
2022,3 ROOM,BUKIT BATOK,94.0,95.0,483000.0
2022,3 ROOM,BUKIT BATOK,95.0,95.0,482500.0
2022,3 ROOM,BUKIT BATOK,96.0,95.0,449000.0
2022,3 ROOM,BUKIT PANJANG,64.0,65.0,365000.0
2022,3 ROOM,BUKIT PANJANG,65.0,65.0,360000.0
2022,3 ROOM,BUKIT PANJANG,66.0,65.0,349000.0
2022,3 ROOM,BUKIT PANJANG,89.0,90.0,414000.0
2022,3 ROOM,BUKIT PANJANG,90.0,90.0,389000.0
2022,3 ROOM,BUKIT PANJANG,91.0,90.0,395000.0
2022,3 ROOM,BUKIT PANJANG,92.0,90.0,420000.0
2022,3 ROOM,BUKIT PANJANG,93.0,95.0,375000.0
2022,3 ROOM,BUKIT PANJANG,94.0,95.0,395000.0
2022,3 ROOM,CHOA CHU KANG,54.0,55.0,325000.0
2022,3 ROOM,CHOA CHU KANG,55.0,55.0,332750.0
2022,3 ROOM,CHOA CHU KANG,56.0,55.0,321000.0
2022,3 ROOM,CHOA CHU KANG,58.0,60.0,340000.0
2022,3 ROOM,CHOA CHU KANG,60.0,60.0,367500.0
2022,3 ROOM,CHOA CHU KANG,61.0,60.0,365000.0
2022,3 ROOM,CHOA CHU KANG,62.0,60.0,340000.0
2022,3 ROOM,CHOA CHU KANG,66.0,65.0,350000.0
2022,3 ROOM,CHOA CHU KANG,67.0,65.0,338500.0
2022,3 ROOM,CHOA CHU KANG,88.0,90.0,380000.0
2022,3 ROOM,CHOA CHU KANG,90.0,90.0,388000.0
2022,3 ROOM,CHOA CHU KANG,91.0,90.0,418000.0
2022,3 ROOM,CHOA CHU KANG,92.0,90.0,383500.0
2022,3 ROOM,CHOA CHU KANG,93.0,95.0,407500.0
2022,3 ROOM,CHOA CHU KANG,94.0,95.0,410000.0
2022,3 ROOM,CHOA CHU KANG,95.0,95.0,405500.0
2022,3 ROOM,HOUGANG,52.0,50.0,310444.0
2022,3 ROOM,HOUGANG,53.0,55.0,290000.0
2022,3 ROOM,HOUGANG,54.0,55.0,350000.0
2022,3 ROOM,HOUGANG,55.0,55.0,342000.0
2022,3 ROOM,HOUGANG,58.0,60.0,375000.0
2022,3 ROOM,HOUGANG,59.0,60.0,370000.0
2022,3 ROOM,HOUGANG,60.0,60.0,368000.0
2022,3 ROOM,HOUGANG,61.0,60.0,375000.0
2022,3 ROOM,HOUGANG,62.0,60.0,357500.0
2022,3 ROOM,HOUGANG,63.0,65.0,360000.0
2022,3 ROOM,HOUGANG,64.0,65.0,365000.0
2022,3 ROOM,HOUGANG,65.0,65.0,351000.0
2022,3 ROOM,HOUGANG,66.0,65.0,330000.0
2022,3 ROOM,HOUGANG,67.0,65.0,335000.0
2022,3 ROOM,HOUGANG,70.0,70.0,340000.0
2022,3 ROOM,HOUGANG,89.0,90.0,401500.0
2022,3 ROOM,HOUGANG,90.0,90.0,400000.0
2022,3 ROOM,HOUGANG,91.0,90.0,500000.0
2022,3 ROOM,HOUGANG,92.0,90.0,420000.0
2022,3 ROOM,HOUGANG,93.0,95.0,480000.0
2022,3 ROOM,HOUGANG,94.0,95.0,463500.0
2022,3 ROOM,HOUGANG,95.0,95.0,468000.0
2022,3 ROOM,JURONG EAST,54.0,55.0,310400.0
2022,3 ROOM,JURONG EAST,55.0,55.0,320000.0
2022,3 ROOM,JURONG EAST,56.0,55.0,319000.0
2022,3 ROOM,JURONG EAST,58.0,60.0,353000.0
2022,3 ROOM,JURONG EAST,59.0,60.0,365000.0
2022,3 ROOM,JURONG EAST,60.0,60.0,358000.0
2022,3 ROOM,JURONG EAST,61.0,60.0,358000.0
2022,3 ROOM,JURONG EAST,62.0,60.0,338800.0
2022,3 ROOM,JURONG EAST,63.0,65.0,335000.0
2022,3 ROOM,JURONG EAST,66.0,65.0,328000.0
2022,3 ROOM,JURONG EAST,90.0,90.0,402500.0
2022,3 ROOM,JURONG EAST,91.0,90.0,406750.0
2022,3 ROOM,JURONG EAST,93.0,95.0,425000.0
2022,3 ROOM,JURONG EAST,94.0,95.0,416500.0
2022,3 ROOM,JURONG WEST,46.0,45.0,300444.0
2022,3 ROOM,JURONG WEST,48.0,50.0,275000.0
2022,3 ROOM,JURONG WEST,49.0,50.0,275000.0
2022,3 ROOM,JURONG WEST,51.0,50.0,285000.0
2022,3 ROOM,JURONG WEST,52.0,50.0,275000.0
2022,3 ROOM,JURONG WEST,53.0,55.0,288000.0
2022,3 ROOM,JURONG WEST,54.0,55.0,300000.0
2022,3 ROOM,JURONG WEST,55.0,55.0,285000.0
2022,3 ROOM,JURONG WEST,56.0,55.0,269750.0
2022,3 ROOM,JURONG WEST,58.0,60.0,355000.0
2022,3 ROOM,JURONG WEST,59.0,60.0,342000.0
2022,3 ROOM,JURONG WEST,60.0,60.0,355000.0
2022,3 ROOM,JURONG WEST,61.0,60.0,369500.0
2022,3 ROOM,JURONG WEST,62.0,60.0,342500.0
2022,3 ROOM,JURONG WEST,63.0,65.0,345000.0
2022,3 ROOM,JURONG WEST,65.0,65.0,346500.0
2022,3 ROOM,JURONG WEST,66.0,65.0,322500.0
2022,3 ROOM,JURONG WEST,87.0,85.0,368000.0
2022,3 ROOM,JURONG WEST,88.0,90.0,427500.0
2022,3 ROOM,JURONG WEST,89.0,90.0,400000.0
2022,3 ROOM,JURONG WEST,90.0,90.0,395000.0
2022,3 ROOM,JURONG WEST,91.0,90.0,404000.0
2022,3 ROOM,JURONG WEST,92.0,90.0,460000.0
2022,3 ROOM,JURONG WEST,94.0,95.0,426000.0
2022,3 ROOM,JURONG WEST,95.0,95.0,420000.0
2022,3 ROOM,PUNGGOL,89.0,90.0,462500.0
2022,3 ROOM,PUNGGOL,90.0,90.0,440000.0
2022,3 ROOM,PUNGGOL,91.0,90.0,430000.0
2022,3 ROOM,PUNGGOL,92.0,90.0,420000.0
2022,3 ROOM,PUNGGOL,93.0,95.0,425000.0
2022,3 ROOM,PUNGGOL,94.0,95.0,447500.0
2022,3 ROOM,PUNGGOL,95.0,95.0,450000.0
2022,3 ROOM,PUNGGOL,96.0,95.0,390000.0
2022,3 ROOM,SEMBAWANG,91.0,90.0,418000.0
2022,3 ROOM,SEMBAWANG,92.0,90.0,385000.0
2022,3 ROOM,SEMBAWANG,95.0,95.0,435000.0
2022,3 ROOM,SENGKANG,84.0,85.0,426500.0
2022,3 ROOM,SENGKANG,86.0,85.0,456800.0
2022,3 ROOM,SENGKANG,87.0,85.0,415000.0
2022,3 ROOM,SENGKANG,88.0,90.0,428000.0
2022,3 ROOM,SENGKANG,89.0,90.0,435000.0
2022,3 ROOM,SENGKANG,90.0,90.0,415000.0
2022,3 ROOM,SENGKANG,91.0,90.0,430000.0
2022,3 ROOM,SENGKANG,92.0,90.0,430000.0
2022,3 ROOM,SENGKANG,93.0,95.0,418000.0
2022,3 ROOM,SENGKANG,94.0,95.0,435000.0
2022,3 ROOM,SENGKANG,95.0,95.0,436500.0
2022,3 ROOM,WOODLANDS,51.0,50.0,297500.0
2022,3 ROOM,WOODLANDS,52.0,50.0,301000.0
2022,3 ROOM,WOODLANDS,53.0,55.0,292500.0
2022,3 ROOM,WOODLANDS,54.0,55.0,306000.0
2022,3 ROOM,WOODLANDS,55.0,55.0,322500.0
2022,3 ROOM,WOODLANDS,56.0,55.0,328000.0
2022,3 ROOM,WOODLANDS,57.0,55.0,328000.0
2022,3 ROOM,WOODLANDS,58.0,60.0,310000.0
2022,3 ROOM,WOODLANDS,60.0,60.0,300000.0
2022,3 ROOM,WOODLANDS,61.0,60.0,342500.0
2022,3 ROOM,WOODLANDS,62.0,60.0,335000.0
2022,3 ROOM,WOODLANDS,63.0,65.0,382000.0
2022,3 ROOM,WOODLANDS,64.0,65.0,307500.0
2022,3 ROOM,WOODLANDS,66.0,65.0,370000.0
2022,3 ROOM,WOODLANDS,67.0,65.0,364000.0
2022,3 ROOM,WOODLANDS,70.0,70.0,358750.0
2022,3 ROOM,WOODLANDS,71.0,70.0,327500.0
2022,3 ROOM,WOODLANDS,72.0,70.0,350000.0
2022,3 ROOM,WOODLANDS,90.0,90.0,420500.0
2022,3 ROOM,WOODLANDS,91.0,90.0,408500.0
2022,3 ROOM,WOODLANDS,92.0,90.0,409000.0
2022,3 ROOM,WOODLANDS,93.0,95.0,454000.0
2022,3 ROOM,WOODLANDS,95.0,95.0,420000.0
2022,3 ROOM,YISHUN,55.0,55.0,332000.0
2022,3 ROOM,YISHUN,58.0,60.0,355000.0
2022,3 ROOM,YISHUN,59.0,60.0,348750.0
2022,3 ROOM,YISHUN,60.0,60.0,350000.0
2022,3 ROOM,YISHUN,61.0,60.0,355000.0
2022,3 ROOM,YISHUN,62.0,60.0,355000.0
2022,3 ROOM,YISHUN,63.0,65.0,352000.0
2022,3 ROOM,YISHUN,64.0,65.0,352000.0
2022,3 ROOM,YISHUN,65.0,65.0,365000.0
2022,3 ROOM,YISHUN,66.0,65.0,350000.0
2022,3 ROOM,YISHUN,69.0,70.0,360000.0
2022,3 ROOM,YISHUN,76.0,75.0,370000.0
2022,3 ROOM,YISHUN,89.0,90.0,391500.0
2022,3 ROOM,YISHUN,90.0,90.0,416888.0
2022,3 ROOM,YISHUN,91.0,90.0,450000.0
2022,3 ROOM,YISHUN,92.0,90.0,402000.0
2022,3 ROOM,YISHUN,93.0,95.0,395000.0
2022,3 ROOM,YISHUN,94.0,95.0,420000.0
2022,3 ROOM,YISHUN,95.0,95.0,418000.0
2022,4 ROOM,BUKIT BATOK,60.0,60.0,477500.0
2022,4 ROOM,BUKIT BATOK,61.0,60.0,485000.0
2022,4 ROOM,BUKIT BATOK,62.0,60.0,460000.0
2022,4 ROOM,BUKIT BATOK,63.0,65.0,435000.0
2022,4 ROOM,BUKIT BATOK,64.0,65.0,450000.0
2022,4 ROOM,BUKIT BATOK,65.0,65.0,430000.0
2022,4 ROOM,BUKIT BATOK,66.0,65.0,525000.0
2022,4 ROOM,BUKIT BATOK,74.0,75.0,528000.0
2022,4 ROOM,BUKIT BATOK,75.0,75.0,510000.0
2022,4 ROOM,BUKIT BATOK,76.0,75.0,480000.0
2022,4 ROOM,BUKIT BATOK,81.0,80.0,525000.0
2022,4 ROOM,BUKIT BATOK,82.0,80.0,506000.0
2022,4 ROOM,BUKIT BATOK,94.0,95.0,680000.0
2022,4 ROOM,BUKIT BATOK,95.0,95.0,690500.0
2022,4 ROOM,BUKIT BATOK,96.0,95.0,580000.0
2022,4 ROOM,BUKIT PANJANG,63.0,65.0,441500.0
2022,4 ROOM,BUKIT PANJANG,64.0,65.0,413944.0
2022,4 ROOM,BUKIT PANJANG,65.0,65.0,448888.0
2022,4 ROOM,BUKIT PANJANG,66.0,65.0,440000.0
2022,4 ROOM,BUKIT PANJANG,67.0,65.0,440000.0
2022,4 ROOM,BUKIT PANJANG,74.0,75.0,477500.0
2022,4 ROOM,BUKIT PANJANG,75.0,75.0,460000.0
2022,4 ROOM,BUKIT PANJANG,76.0,75.0,500000.0
2022,4 ROOM,BUKIT PANJANG,78.0,80.0,470000.0
2022,4 ROOM,BUKIT PANJANG,79.0,80.0,455000.0
2022,4 ROOM,BUKIT PANJANG,80.0,80.0,638888.0
2022,4 ROOM,BUKIT PANJANG,81.0,80.0,491000.0
2022,4 ROOM,BUKIT PANJANG,82.0,80.0,492500.0
2022,4 ROOM,BUKIT PANJANG,89.0,90.0,510000.0
2022,4 ROOM,BUKIT PANJANG,90.0,90.0,510000.0
2022,4 ROOM,BUKIT PANJANG,91.0,90.0,517500.0
2022,4 ROOM,BUKIT PANJANG,92.0,90.0,513500.0
2022,4 ROOM,BUKIT PANJANG,93.0,95.0,515000.0
2022,4 ROOM,BUKIT PANJANG,94.0,95.0,508888.0
2022,4 ROOM,CHOA CHU KANG,54.0,55.0,388000.0
2022,4 ROOM,CHOA CHU KANG,55.0,55.0,405000.0
2022,4 ROOM,CHOA CHU KANG,56.0,55.0,392500.0
2022,4 ROOM,CHOA CHU KANG,58.0,60.0,402500.0
2022,4 ROOM,CHOA CHU KANG,59.0,60.0,379000.0
2022,4 ROOM,CHOA CHU KANG,60.0,60.0,492888.0
2022,4 ROOM,CHOA CHU KANG,61.0,60.0,426500.0
2022,4 ROOM,CHOA CHU KANG,62.0,60.0,407500.0
2022,4 ROOM,CHOA CHU KANG,65.0,65.0,468000.0
2022,4 ROOM,CHOA CHU KANG,66.0,65.0,450000.0
2022,4 ROOM,CHOA CHU KANG,67.0,65.0,480000.0
2022,4 ROOM,CHOA CHU KANG,68.0,70.0,445000.0
2022,4 ROOM,CHOA CHU KANG,69.0,70.0,467500.0
2022,4 ROOM,CHOA CHU KANG,70.0,70.0,475000.0
2022,4 ROOM,CHOA CHU KANG,71.0,70.0,460000.0
2022,4 ROOM,CHOA CHU KANG,72.0,70.0,461000.0
2022,4 ROOM,CHOA CHU KANG,73.0,75.0,480000.0
2022,4 ROOM,CHOA CHU KANG,74.0,75.0,485000.0
2022,4 ROOM,CHOA CHU KANG,75.0,75.0,509000.0
2022,4 ROOM,CHOA CHU KANG,76.0,75.0,449000.0
2022,4 ROOM,CHOA CHU KANG,77.0,75.0,437500.0
2022,4 ROOM,CHOA CHU KANG,79.0,80.0,440000.0
2022,4 ROOM,CHOA CHU KANG,80.0,80.0,427500.0
2022,4 ROOM,CHOA CHU KANG,81.0,80.0,436000.0
2022,4 ROOM,CHOA CHU KANG,90.0,90.0,488000.0
2022,4 ROOM,CHOA CHU KANG,91.0,90.0,475000.0
2022,4 ROOM,CHOA CHU KANG,92.0,90.0,492500.0
2022,4 ROOM,CHOA CHU KANG,93.0,95.0,500000.0
2022,4 ROOM,CHOA CHU KANG,94.0,95.0,525000.0
2022,4 ROOM,CHOA CHU KANG,95.0,95.0,508888.0
2022,4 ROOM,HOUGANG,52.0,50.0,395000.0
2022,4 ROOM,HOUGANG,55.0,55.0,405000.0
2022,4 ROOM,HOUGANG,58.0,60.0,452000.0
2022,4 ROOM,HOUGANG,59.0,60.0,431000.0
2022,4 ROOM,HOUGANG,60.0,60.0,478000.0
2022,4 ROOM,HOUGANG,61.0,60.0,465000.0
2022,4 ROOM,HOUGANG,62.0,60.0,455000.0
2022,4 ROOM,HOUGANG,63.0,65.0,447500.0
2022,4 ROOM,HOUGANG,64.0,65.0,460000.0
2022,4 ROOM,HOUGANG,65.0,65.0,441500.0
2022,4 ROOM,HOUGANG,66.0,65.0,510000.0
2022,4 ROOM,HOUGANG,67.0,65.0,503000.0
2022,4 ROOM,HOUGANG,68.0,70.0,503000.0
2022,4 ROOM,HOUGANG,69.0,70.0,500000.0
2022,4 ROOM,HOUGANG,70.0,70.0,481000.0
2022,4 ROOM,HOUGANG,73.0,75.0,501000.0
2022,4 ROOM,HOUGANG,74.0,75.0,482000.0
2022,4 ROOM,HOUGANG,75.0,75.0,475688.0
2022,4 ROOM,HOUGANG,76.0,75.0,480000.0
2022,4 ROOM,HOUGANG,77.0,75.0,455000.0
2022,4 ROOM,HOUGANG,80.0,80.0,458800.0
2022,4 ROOM,HOUGANG,81.0,80.0,426000.0
2022,4 ROOM,HOUGANG,91.0,90.0,585444.0
2022,4 ROOM,HOUGANG,92.0,90.0,559000.0
2022,4 ROOM,HOUGANG,93.0,95.0,620000.0
2022,4 ROOM,HOUGANG,94.0,95.0,608000.0
2022,4 ROOM,HOUGANG,95.0,95.0,653000.0
2022,4 ROOM,JURONG EAST,55.0,55.0,430000.0
2022,4 ROOM,JURONG EAST,58.0,60.0,425000.0
2022,4 ROOM,JURONG EAST,59.0,60.0,437500.0
2022,4 ROOM,JURONG EAST,60.0,60.0,457944.0
2022,4 ROOM,JURONG EAST,61.0,60.0,459500.0
2022,4 ROOM,JURONG EAST,62.0,60.0,445000.0
2022,4 ROOM,JURONG EAST,63.0,65.0,423000.0
2022,4 ROOM,JURONG EAST,64.0,65.0,402000.0
2022,4 ROOM,JURONG EAST,70.0,70.0,451000.0
2022,4 ROOM,JURONG EAST,75.0,75.0,509000.0
2022,4 ROOM,JURONG EAST,76.0,75.0,535000.0
2022,4 ROOM,JURONG EAST,77.0,75.0,535444.0
2022,4 ROOM,JURONG EAST,80.0,80.0,450000.0
2022,4 ROOM,JURONG EAST,90.0,90.0,511000.0
2022,4 ROOM,JURONG EAST,91.0,90.0,500000.0
2022,4 ROOM,JURONG EAST,93.0,95.0,528000.0
2022,4 ROOM,JURONG EAST,94.0,95.0,540000.0
2022,4 ROOM,JURONG WEST,58.0,60.0,478000.0
2022,4 ROOM,JURONG WEST,59.0,60.0,452944.0
2022,4 ROOM,JURONG WEST,60.0,60.0,464000.0
2022,4 ROOM,JURONG WEST,61.0,60.0,443000.0
2022,4 ROOM,JURONG WEST,62.0,60.0,428000.0
2022,4 ROOM,JURONG WEST,63.0,65.0,388500.0
2022,4 ROOM,JURONG WEST,64.0,65.0,420000.0
2022,4 ROOM,JURONG WEST,65.0,65.0,431750.0
2022,4 ROOM,JURONG WEST,66.0,65.0,416500.0
2022,4 ROOM,JURONG WEST,67.0,65.0,430000.0
2022,4 ROOM,JURONG WEST,68.0,70.0,422500.0
2022,4 ROOM,JURONG WEST,69.0,70.0,440000.0
2022,4 ROOM,JURONG WEST,70.0,70.0,438444.0
2022,4 ROOM,JURONG WEST,71.0,70.0,450000.0
2022,4 ROOM,JURONG WEST,72.0,70.0,448000.0
2022,4 ROOM,JURONG WEST,73.0,75.0,455000.0
2022,4 ROOM,JURONG WEST,74.0,75.0,465000.0
2022,4 ROOM,JURONG WEST,75.0,75.0,505000.0
2022,4 ROOM,JURONG WEST,76.0,75.0,475000.0
2022,4 ROOM,JURONG WEST,77.0,75.0,480000.0
2022,4 ROOM,JURONG WEST,78.0,80.0,470000.0
2022,4 ROOM,JURONG WEST,79.0,80.0,445000.0
2022,4 ROOM,JURONG WEST,80.0,80.0,447500.0
2022,4 ROOM,JURONG WEST,81.0,80.0,430000.0
2022,4 ROOM,JURONG WEST,83.0,85.0,482000.0
2022,4 ROOM,JURONG WEST,85.0,85.0,486500.0
2022,4 ROOM,JURONG WEST,86.0,85.0,450000.0
2022,4 ROOM,JURONG WEST,87.0,85.0,530000.0
2022,4 ROOM,JURONG WEST,88.0,90.0,545000.0
2022,4 ROOM,JURONG WEST,89.0,90.0,518000.0
2022,4 ROOM,JURONG WEST,91.0,90.0,600000.0
2022,4 ROOM,JURONG WEST,92.0,90.0,535000.0
2022,4 ROOM,JURONG WEST,94.0,95.0,588000.0
2022,4 ROOM,JURONG WEST,95.0,95.0,550000.0
2022,4 ROOM,PUNGGOL,79.0,80.0,480000.0
2022,4 ROOM,PUNGGOL,80.0,80.0,470000.0
2022,4 ROOM,PUNGGOL,81.0,80.0,485500.0
2022,4 ROOM,PUNGGOL,82.0,80.0,460000.0
2022,4 ROOM,PUNGGOL,84.0,85.0,512888.0
2022,4 ROOM,PUNGGOL,85.0,85.0,480000.0
2022,4 ROOM,PUNGGOL,86.0,85.0,502500.0
2022,4 ROOM,PUNGGOL,87.0,85.0,587500.0
2022,4 ROOM,PUNGGOL,88.0,90.0,567500.0
2022,4 ROOM,PUNGGOL,89.0,90.0,560000.0
2022,4 ROOM,PUNGGOL,90.0,90.0,559444.0
2022,4 ROOM,PUNGGOL,91.0,90.0,548000.0
2022,4 ROOM,PUNGGOL,92.0,90.0,550000.0
2022,4 ROOM,PUNGGOL,93.0,95.0,557000.0
2022,4 ROOM,PUNGGOL,94.0,95.0,565000.0
2022,4 ROOM,PUNGGOL,95.0,95.0,575000.0
2022,4 ROOM,PUNGGOL,96.0,95.0,472500.0
2022,4 ROOM,SEMBAWANG,75.0,75.0,430000.0
2022,4 ROOM,SEMBAWANG,76.0,75.0,462000.0
2022,4 ROOM,SEMBAWANG,77.0,75.0,438000.0
2022,4 ROOM,SEMBAWANG,78.0,80.0,453500.0
2022,4 ROOM,SEMBAWANG,79.0,80.0,462800.0
2022,4 ROOM,SEMBAWANG,80.0,80.0,429000.0
2022,4 ROOM,SEMBAWANG,81.0,80.0,453000.0
2022,4 ROOM,SEMBAWANG,82.0,80.0,482000.0
2022,4 ROOM,SEMBAWANG,83.0,85.0,481000.0
2022,4 ROOM,SEMBAWANG,87.0,85.0,470000.0
2022,4 ROOM,SEMBAWANG,88.0,90.0,450000.0
2022,4 ROOM,SEMBAWANG,91.0,90.0,530000.0
2022,4 ROOM,SEMBAWANG,92.0,90.0,508500.0
2022,4 ROOM,SEMBAWANG,94.0,95.0,587500.0
